category,author,title,read,added
nonfiction,Hannah Arendt,Between Past and Future,,2014-03-07
nonfiction,Humphrey Neill,The Art of Contrary Thinking,,2014-03-07
nonfiction,Isaac Kramnick,The Portable Enlightenment Reader,,2014-03-07
nonfiction,Jean Baudrillard,"The Intelligence of Evil, or the Lucidity Pact",,2014-03-07
nonfiction,John Updike,Self-Consciousness,,2014-03-07
nonfiction,Kate Distin,The Selfish Meme,,2014-03-07
nonfiction,Kio Stark,Don't Go Back To School,,
nonfiction,Ludqig von Mises,Bureaucracy,,2014-03-07
nonfiction,Ludqig von Mises,Omnipotent Government,,2014-03-07
nonfiction,Malcom Gladwell,The Tipping Point,,2014-03-07
nonfiction,Michael Lewis,The Big Short,,2014-03-07
nonfiction,Michael Pollan,The Botany of Desire,,2014-03-07
nonfiction,Murray Rothbard,The Mystery of Banking,,2014-03-07
nonfiction,Naomi Klein,No Logo,,2014-03-07
nonfiction,Nicholas Wade,Before the Dawn,,2014-03-07
nonfiction,Peter Singer,One World,,2014-03-07
nonfiction,Rachel Carson,Silent Spring,,2014-03-07
nonfiction,Richard Campanella,Delta Urbanism: New Orleans,,2014-03-07
nonfiction,Richard Dawkins,The Selfish Gene,,2014-03-07
nonfiction,Saul Miller,Food for Thought,,2014-03-07
nonfiction,Steven Pinker,The Blank Slate,,2014-03-07
nonfiction,Url Lanham,The Insects,,2014-03-07
nonfiction,Wilhelm Ropke,Economics of a Free Society,,2014-03-07
nonfiction,Will Durant,The Story of Philosophy,,2014-03-07
technical,37signals,Getting Real,,2014-03-07
technical,37signals,Rework,,2014-03-07
technical,Bivand et al.,Applied Spatial Data Analysis with R,,2014-03-07
technical,Hadley Wickham,"ggplot2, Elegant Graphics for Data Analysis",,2014-03-07
technical,James Campbell,Introduction to Remote Sensing,,2014-03-07
technical,Martin Seligman,Flourish,,2014-03-07
technical,O'Sullivan & Unwin,Geographic Information Analysis,,2014-03-07
technical,Peter Dalgaard,Introductory Statistics with R,,2014-03-07
technical,Robbins et al.,Learning the vi and Vim Editors,,2014-03-07
technical,Steven Pressfield,Do The Work!,,2014-03-07
